,date,equity
0,2002-01-01,423.30
1,2002-02-01,1966.30
2,2002-03-01,391.40
3,2002-04-01,11.70
4,2002-05-01,-56.00
5,2002-06-01,-381.10
6,2002-07-01,348.50
7,2002-08-01,204.30
8,2002-09-01,468.60
9,2002-10-01,-776.40
10,2002-11-01,601.80
11,2002-12-01,427.20
12,2003-01-01,888.00
13,2003-02-01,378.70
14,2003-03-01,411.70
15,2003-04-01,430.30
16,2003-05-01,1220.80
17,2003-06-01,2581.70
18,2003-07-01,2346.50
19,2003-08-01,2091.30
20,2003-09-01,3851.30
21,2003-10-01,6797.50
22,2003-11-01,3300.50
23,2003-12-01,6161.10
24,2004-01-01,3176.80
25,2004-02-01,2397.50
26,2004-03-01,5604.40
27,2004-04-01,7638.20
28,2004-05-01,-3246.90
29,2004-06-01,516.40
30,2004-07-01,913.60
31,2004-08-01,2892.30
32,2004-09-01,2385.60
33,2004-10-01,3263.30
34,2004-11-01,6740.80
35,2004-12-01,6683.80
36,2005-01-01,457.10
37,2005-02-01,8376.30
38,2005-03-01,7502.20
39,2005-04-01,-654.10
40,2005-05-01,-1140.10
41,2005-06-01,5328.60
42,2005-07-01,7934.10
43,2005-08-01,5051.20
44,2005-09-01,4646.80
45,2005-10-01,-3693.90
46,2005-11-01,4038.70
47,2005-12-01,9335.00
48,2006-01-01,3677.60
49,2006-02-01,7587.80
50,2006-03-01,6688.80
51,2006-04-01,521.90
52,2006-05-01,-7354.20
53,2006-06-01,479.50
54,2006-07-01,1145.20
55,2006-08-01,4643.10
56,2006-09-01,5424.70
57,2006-10-01,8013.10
58,2006-11-01,9380.10
59,2006-12-01,-3667.40
60,2006-01-01,3677.60
61,2006-02-01,7587.80
62,2006-03-01,6688.80
63,2006-04-01,521.90
64,2006-05-01,-7354.20
65,2006-06-01,479.50
66,2006-07-01,1145.20
67,2006-08-01,4643.10
68,2006-09-01,5424.70
69,2006-10-01,8013.10
70,2006-11-01,9380.10
71,2006-12-01,-3667.40
72,2007-01-01,492.10
73,2007-02-01,7239.60
74,2007-03-01,-1082.00
75,2007-04-01,6679.20
76,2007-05-01,3959.70
77,2007-06-01,1643.10
78,2007-07-01,23872.40
79,2007-08-01,-7770.50
80,2007-09-01,16132.60
81,2007-10-01,20590.90
82,2007-11-01,-5849.90
83,2007-12-01,5579.10
84,2008-01-01,-13035.70
85,2008-02-01,1733.30
86,2008-03-01,-130.40
87,2008-04-01,1074.80
88,2008-05-01,-5011.50
89,2008-06-01,-10095.80
90,2008-07-01,-1836.80
91,2008-08-01,-1211.70
92,2008-09-01,-8278.10
93,2008-10-01,-15347.30
94,2008-11-01,-2598.30
95,2008-12-01,1750.10
96,2009-01-01,-4245.30
97,2009-02-01,-2436.60
98,2009-03-01,530.30
99,2009-04-01,6508.20
100,2009-05-01,20117.20
101,2009-06-01,3830.00
102,2009-07-01,11066.30
103,2009-08-01,4902.70
104,2009-09-01,18344.30
105,2009-10-01,9077.00
106,2009-11-01,5497.00
107,2009-12-01,10233.10
108,2010-01-01,-500.30
109,2010-02-01,1216.90
110,2010-03-01,19928.20
111,2010-04-01,9361.30
112,2010-05-01,-9436.70
113,2010-06-01,10508.40
114,2010-07-01,16617.40
115,2010-08-01,11687.50
116,2010-09-01,24978.50
117,2010-10-01,28562.90
118,2010-11-01,18293.10
119,2010-12-01,2049.60
120,2011-01-01,-4813.20
121,2011-02-01,-4585.50
122,2011-03-01,6897.80
123,2011-04-01,7213.30
124,2011-05-01,-6614.40
125,2011-06-01,4572.20
126,2011-07-01,8030.10
127,2011-08-01,-10833.60
128,2011-09-01,-158.30
129,2011-10-01,1677.40
130,2011-11-01,-4197.90
131,2011-12-01,97.90
132,2012-01-01,10357.70
133,2012-02-01,25212.10
134,2012-03-01,8381.10
135,2012-04-01,-1109.10
136,2012-05-01,-347.10
137,2012-06-01,-501.30
138,2012-07-01,10272.70
139,2012-08-01,10803.90
140,2012-09-01,19261.50
141,2012-10-01,11364.20
142,2012-11-01,9577.20
143,2012-12-01,25087.80
144,2013-01-01,22059.20
145,2013-02-01,24439.30
146,2013-03-01,9124.30
147,2013-04-01,5414.10
148,2013-05-01,22168.60
149,2013-06-01,-11026.90
150,2013-07-01,-6086.10
151,2013-08-01,-5922.50
152,2013-09-01,13057.80
153,2013-10-01,15706.20
154,2013-11-01,8116.10
155,2013-12-01,16085.80
156,2014-01-01,714.30
157,2014-02-01,1404.14
158,2014-03-01,20077.14
159,2014-04-01,9602.28
160,2014-05-01,14006.15
161,2014-06-01,13990.75
162,2014-07-01,13110.44
163,2014-08-01,5429.76
164,2014-09-01,5102.52
165,2014-10-01,-1171.51
166,2014-11-01,13753.29
167,2014-12-01,1036.29
168,2015-01-01,12918.97
169,2015-02-01,11475.53
170,2015-03-01,12078.12
171,2015-04-01,11720.93
172,2015-05-01,-5768.48
173,2015-06-01,-3344.44
174,2015-07-01,5318.99
175,2015-08-01,-16877.27
176,2015-09-01,-6475.15
177,2015-10-01,6649.58
178,2015-11-01,-7074.17
179,2015-12-01,-2816.65
180,2016-01-01,-11126.44
181,2016-02-01,-5521.39
182,2016-03-01,21142.92
183,2016-04-01,8415.73
184,2016-05-01,2542.89
185,2016-06-01,3712.88
186,2016-07-01,12611.82
187,2016-08-01,9071.32
188,2016-09-01,10443.25
189,2016-10-01,-4306.26
190,2016-11-01,-18244.25
191,2016-12-01,-8176.29
192,2017-01-01,-1176.60
193,2017-02-01,9902.18
194,2017-03-01,30906.00
195,2017-04-01,2394.49
196,2017-05-01,7711.41
197,2017-06-01,3616.82
198,2017-07-01,5160.71
199,2017-08-01,-12769.68
200,2017-09-01,-11392.27
201,2017-10-01,3054.97
202,2017-11-01,19727.80
203,2017-12-01,-5882.91
204,2018-01-01,13781.46
205,2018-02-01,-11422.90
206,2018-03-01,11654.29
207,2018-04-01,-5552.21
208,2018-05-01,-10060.03
209,2018-06-01,-4831.23
210,2018-07-01,2263.92
211,2018-08-01,1775.41
212,2018-09-01,-10824.70
213,2018-10-01,-28921.17
214,2018-11-01,5980.89
215,2018-12-01,3143.22
216,2019-01-01,-4262.01
217,2019-02-01,17219.62
218,2019-03-01,33980.56
219,2019-04-01,21193.45
220,2019-05-01,7919.73
221,2019-06-01,2595.52
222,2019-07-01,-12418.73
223,2019-08-01,-17592.28
224,2019-09-01,7547.89
225,2019-10-01,12367.99
226,2019-11-01,25230.63
227,2019-12-01,7338.40
228,2020-01-01,12122.58
229,2020-02-01,1819.83
230,2020-03-01,-61972.75
231,2020-04-01,-6883.57
232,2020-05-01,14568.77
233,2020-06-01,21831.62
234,2020-07-01,7562.71
235,2020-08-01,47079.65
236,2020-09-01,-7782.53
237,2020-10-01,19540.73
238,2020-11-01,60357.67
239,2020-12-01,62015.68
240,2021-01-01,19472.51
241,2021-02-01,25786.76
242,2021-03-01,10481.96
243,2021-04-01,-9659.14
244,2021-05-01,-2954.34
245,2021-06-01,17215.01
246,2021-07-01,-11308.36
247,2021-08-01,2082.94
248,2021-09-01,13153.69
249,2021-10-01,-13549.67
250,2021-11-01,-5945.10
251,2021-12-01,-19026.06
252,2022-01-01,-33303.45
253,2022-02-01,-35591.98
254,2022-03-01,-41123.14
255,2022-04-01,-17143.75
256,2022-05-01,-39993.22
257,2022-06-01,-50202.81
258,2022-07-01,4988.79
259,2022-08-01,51204.42
260,2022-09-01,-7623.66
261,2022-10-01,-8.29
262,2022-11-01,36238.66
263,2022-12-01,11118.99
264,2023-01-01,-28852.02
265,2023-02-01,-5294.31
266,2023-03-01,7935.63
267,2023-04-01,11630.82
268,2023-05-01,43838.11
269,2023-06-01,47148.34
270,2023-07-01,46617.76
271,2023-08-01,-774.18
